frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,0.058103196,0.036915295,-0.046135928,0.013295088,-0.116474040,-0.074108079,0.990335822
1,0.016683,2,false,false,0.054233842,0.037089549,-0.056223843,-0.012478810,0.117448322,0.073560551,-0.990272224
2,0.033367,2,false,false,0.050919197,0.036164910,-0.046280928,-0.012684514,0.115055576,0.074573547,-0.990474761
3,0.050050,2,false,false,0.050801646,0.036135972,-0.045995679,-0.012504927,0.115061104,0.075152144,-0.990432560
4,0.066733,2,false,false,0.050541542,0.036166407,-0.045561001,-0.012138545,0.114973061,0.075557731,-0.990416586
5,0.083417,2,false,false,0.050194688,0.036260359,-0.045019414,-0.011625613,0.114848450,0.076117508,-0.990394294
6,0.100100,2,false,false,0.049772948,0.036387760,-0.044299647,-0.011162007,0.114753418,0.076528087,-0.990379035
7,0.116783,2,false,false,0.049178574,0.036507383,-0.043531463,-0.010772376,0.114738040,0.076892607,-0.990356922
8,0.133467,2,false,false,0.049638141,0.036174107,-0.043473389,-0.010492099,0.115574263,0.077103086,-0.990246296
9,0.150150,2,false,true,0.048687033,0.037008975,-0.046161044,0.010193765,-0.116415024,-0.077220455,0.990141749
10,0.166833,2,false,false,0.048492298,0.037246656,-0.045675192,0.009832410,-0.116698660,-0.077282541,0.990107179
11,0.183517,2,false,false,0.048431024,0.037465870,-0.044825561,0.009338407,-0.116730772,-0.077673107,0.990077615
12,0.200200,2,false,false,0.048254911,0.037627958,-0.044051170,0.008776307,-0.116783410,-0.077986784,0.990051866
13,0.216883,2,false,false,0.048220869,0.037757412,-0.043170094,0.008359521,-0.116816983,-0.078339569,0.990023673
14,0.233567,2,false,false,0.048212204,0.037916299,-0.042485036,0.007954918,-0.116900623,-0.078706868,0.989987969
15,0.250250,2,false,false,0.048327859,0.034743030,-0.042105477,-0.006717234,0.116654880,0.078822352,-0.990016997
16,0.266933,2,false,false,0.048483703,0.034817312,-0.041795112,-0.006630393,0.116581894,0.079030812,-0.990009606
17,0.283617,2,false,false,0.047829870,0.036578774,-0.042004060,-0.007092750,0.116766900,0.079261333,-0.989966094
18,0.300300,2,false,false,0.047784392,0.036944170,-0.041898120,-0.007119545,0.116795011,0.079458848,-0.989946723
19,0.316983,2,false,false,0.049697019,0.035698932,-0.043346997,0.006421773,-0.116758466,-0.079674438,0.989938498
20,0.333667,2,false,false,0.049925253,0.036001563,-0.043023579,0.006355760,-0.116436295,-0.079949960,0.989954710
21,0.350350,2,false,false,0.049971789,0.036062896,-0.042551853,0.006058079,-0.116018169,-0.080291472,0.989977956
22,0.367033,2,false,false,0.050152782,0.036189761,-0.042065889,0.005750504,-0.115594961,-0.080567971,0.990006924
