frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,0.068899557,-0.008864058,0.000669451,0.017846871,-0.003622985,-0.075980701,0.996943057
1,0.016683,2,false,false,0.072242640,-0.007527182,-0.003977143,-0.018513514,0.006880479,0.074273393,-0.997042298
2,0.033367,2,false,false,0.068104781,-0.009025962,-0.000628709,-0.015548115,0.004522551,0.076198608,-0.996961236
3,0.050050,2,false,false,0.067930423,-0.008890234,-0.000392296,-0.014548242,0.005314843,0.075413950,-0.997032046
4,0.066733,2,false,false,0.067507915,-0.008640879,0.000031394,-0.013183807,0.006222767,0.074034199,-0.997149169
5,0.083417,2,false,false,0.067135446,-0.008076353,0.000724054,-0.011477951,0.006602589,0.071815006,-0.997330070
6,0.100100,2,false,false,0.066291831,-0.007178234,0.001506436,-0.009660794,0.006572774,0.069500759,-0.997513533
7,0.116783,2,false,false,0.062690780,-0.003375001,0.003429992,0.009700092,-0.007217491,-0.065315016,0.997791469
8,0.133467,2,false,false,0.060933951,-0.001578839,0.004638452,0.008656233,-0.007746988,-0.062684909,0.997965813
9,0.150150,2,false,false,0.059569415,0.000243396,0.005850843,0.007610938,-0.008120094,-0.059647691,0.998157501
10,0.166833,2,false,false,0.064333379,-0.001384197,0.001316198,-0.005765324,0.010211801,0.056226347,-0.998349190
11,0.183517,2,false,false,0.062513784,-0.000185874,0.002538777,-0.004738289,0.010615979,0.053620107,-0.998493731
12,0.200200,2,false,false,0.059890375,0.000915755,0.003850090,-0.003786746,0.010921148,0.050938182,-0.998634934
13,0.216883,2,false,false,0.051742174,-0.001677495,0.001662887,0.001565651,-0.010209259,-0.048158288,0.998786330
14,0.233567,2,false,false,0.050077170,-0.000933014,0.002700524,0.001228491,-0.010832400,-0.045698620,0.998895824
15,0.250250,2,false,false,0.048087496,-0.000176663,0.003635940,0.001008381,-0.011347528,-0.043368172,0.998994291
