frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,1,true,false,0,0,0,0,0,0,0
1,0.016683,2,true,false,0,0,0,0,0,0,0
2,0.033367,2,true,false,0,0,0,0,0,0,0
3,0.050050,2,true,false,0,0,0,0,0,0,0
4,0.066733,2,true,false,0,0,0,0,0,0,0
5,0.083417,2,true,false,0,0,0,0,0,0,0
6,0.100100,2,true,false,0,0,0,0,0,0,0
7,0.116783,2,true,false,0,0,0,0,0,0,0
8,0.133467,2,true,false,0,0,0,0,0,0,0
9,0.150150,2,true,false,0,0,0,0,0,0,0
10,0.166833,2,true,false,0,0,0,0,0,0,0
11,0.183517,2,true,false,0,0,0,0,0,0,0
12,0.200200,2,true,false,0,0,0,0,0,0,0
13,0.216883,2,true,false,0,0,0,0,0,0,0
14,0.233567,2,true,false,0,0,0,0,0,0,0
15,0.250250,2,true,false,0,0,0,0,0,0,0
16,0.266933,2,true,false,0,0,0,0,0,0,0
17,0.283617,2,true,false,0,0,0,0,0,0,0
18,0.300300,2,true,false,0,0,0,0,0,0,0
19,0.316983,2,true,false,0,0,0,0,0,0,0
20,0.333667,2,true,false,0,0,0,0,0,0,0
21,0.350350,2,true,false,0,0,0,0,0,0,0
22,0.367033,2,true,false,0,0,0,0,0,0,0
23,0.383717,2,true,false,0,0,0,0,0,0,0
24,0.400400,2,true,false,0,0,0,0,0,0,0
25,0.417083,2,true,false,0,0,0,0,0,0,0
26,0.433767,2,true,false,0,0,0,0,0,0,0
27,0.450450,2,true,false,0,0,0,0,0,0,0
28,0.467133,2,true,false,0,0,0,0,0,0,0
29,0.483817,3,true,false,0,0,0,0,0,0,0
30,0.483817,1,true,false,0,0,0,0,0,0,0
31,0.483817,1,true,false,0,0,0,0,0,0,0
32,0.483817,1,true,false,0,0,0,0,0,0,0
33,0.483817,1,true,false,0,0,0,0,0,0,0
34,0.483817,1,true,false,0,0,0,0,0,0,0
35,0.583917,2,false,false,-0.022194680,0.000167919,0.003323884,-0.004512405,0.002761012,0.010134265,0.999934673
36,0.600600,2,false,false,-0.027910618,-0.000123451,0.002733144,-0.005064260,0.000926573,0.011250325,0.999923527
37,0.617283,2,false,false,-0.037410896,-0.003436044,-0.000717355,-0.006317415,-0.000858771,0.013883778,0.999883294
38,0.633967,2,false,false,-0.047610421,-0.007892602,-0.003501854,-0.008153854,-0.001779950,0.015925409,0.999838412
39,0.650650,2,false,false,-0.050854687,0.001038258,0.003896381,-0.005977612,-0.003734610,0.017004779,0.999830604
40,0.667333,2,false,false,-0.063468367,-0.008674707,-0.000623813,-0.009366737,-0.004032556,0.020036101,0.999747276
41,0.684017,2,false,false,-0.077431485,-0.013241958,-0.002029049,-0.011573537,-0.003703034,0.022468586,0.999673724
42,0.700700,2,false,false,-0.072071753,-0.001062732,0.002780937,-0.010455364,-0.005837573,0.020781176,0.999712408
43,0.717383,2,false,false,-0.068427607,0.004240394,0.000770471,-0.011099517,-0.007443894,0.020318875,0.999704242
44,0.734067,2,false,false,-0.057471115,0.007489510,0.009133275,-0.010540301,-0.010053881,0.019347522,0.999706745
45,0.750750,2,false,false,-0.054292206,0.008125623,0.010558235,-0.011252374,-0.011023973,0.019687001,0.999682128
46,0.767433,2,false,false,-0.058011711,0.010152333,0.008661268,-0.012167959,-0.010105676,0.019728271,0.999680340
47,0.784117,2,false,false,-0.044972155,0.010394621,0.014366209,-0.012912428,-0.011948020,0.019053446,0.999663711
48,0.800800,2,false,false,-0.049544103,0.010183745,0.013498231,-0.013702815,-0.009818830,0.019848661,0.999660909
49,0.817483,2,false,false,-0.052984193,0.009442816,0.010919109,-0.015241846,-0.008354550,0.020773720,0.999633133
50,0.834167,2,false,false,-0.079734556,-0.002615849,0.019604905,-0.017931335,0.001607811,0.025789604,0.999505281
51,0.850850,2,false,false,-0.085621566,-0.003762900,0.008718778,-0.021176714,0.002333141,0.027097637,0.999405742
52,0.867533,2,false,false,-0.084512949,-0.005755447,0.024097752,-0.022134248,0.007134128,0.028839864,0.999313474
53,0.884217,2,false,false,-0.087743692,-0.006690091,0.024786834,-0.024977896,0.011060199,0.031311512,0.999136329
54,0.900900,2,false,false,-0.090796106,-0.007524505,0.027620373,-0.028713003,0.015688222,0.034195449,0.998879492
55,0.917583,2,false,false,-0.090375751,-0.010760347,0.007761773,-0.035272941,0.016123103,0.035726689,0.998608828
56,0.934267,2,false,false,-0.092656448,-0.010592960,0.010525014,-0.038607839,0.019979920,0.037206873,0.998361647
57,0.950950,2,false,false,-0.095099322,-0.010505968,0.014117634,-0.042429112,0.023325030,0.038926776,0.998068333
58,0.967633,2,false,false,-0.100859553,-0.009086492,0.036063097,-0.044927549,0.029717015,0.040798340,0.997714400
59,0.984317,2,false,false,-0.100043811,-0.012593644,0.017597113,-0.050115701,0.026979459,0.042423256,0.997477233
60,1.001000,2,false,false,-0.101883225,-0.012992597,0.021427147,-0.053133398,0.028386138,0.043909166,0.997217655
61,1.017683,2,false,false,-0.103751913,-0.012910854,0.023355354,-0.055220444,0.029075341,0.046131078,0.996984065
62,1.034367,2,false,false,-0.109599724,-0.012016589,0.044474281,-0.056959417,0.033787068,0.048496187,0.996625423
63,1.051050,2,false,false,-0.111494280,-0.012065291,0.047759980,-0.059585989,0.034903359,0.049922429,0.996362925
64,1.067733,2,false,false,-0.109386824,-0.014745326,0.029072184,-0.064228974,0.032096051,0.051362701,0.996095538
65,1.084417,2,false,false,-0.141899362,-0.012002137,0.070277967,-0.064505644,0.041265242,0.052678630,0.995671213
66,1.101100,2,false,false,-0.141400427,-0.012375914,0.072747082,-0.067618683,0.042317953,0.053341106,0.995385170
67,1.117783,2,false,false,-0.142397791,-0.012821998,0.073057897,-0.070122831,0.043956213,0.052889690,0.995164990
68,1.134467,2,false,false,-0.142524526,-0.012088614,0.074544236,-0.071291037,0.045725405,0.051739682,0.995062709
69,1.151150,2,false,false,-0.143784553,-0.011909396,0.075224034,-0.071829155,0.048126403,0.049625147,0.995018482
70,1.167833,2,false,false,-0.146876797,-0.011978505,0.077643417,-0.072137408,0.050794780,0.046796992,0.995000660
71,1.184517,2,false,false,-0.149274722,-0.012301515,0.078393988,-0.072202884,0.052646577,0.042797025,0.995079696
72,1.201200,2,false,false,-0.132857740,-0.013150282,0.049853399,-0.074241497,0.053774692,0.039973516,0.994986773
73,1.217883,2,false,false,-0.131686494,-0.011916340,0.049872469,-0.072844498,0.053749535,0.034636524,0.995291412
74,1.234567,2,false,false,-0.132330060,-0.011300327,0.049864832,-0.072116002,0.054142848,0.029676612,0.995483398
75,1.251250,2,false,false,-0.132727489,-0.011371295,0.049625300,-0.071191251,0.054270823,0.025088172,0.995669186
76,1.267933,2,false,false,-0.131750613,-0.009179876,0.048594918,-0.068869688,0.053446200,0.021342317,0.995964408
77,1.284617,2,false,false,-0.132040694,-0.010057843,0.048428267,-0.067963794,0.053088341,0.018326884,0.996105850
78,1.301300,2,false,false,-0.130988881,-0.008156669,0.048340488,-0.066469051,0.052006084,0.015529719,0.996311307
79,1.317983,2,false,false,-0.129197106,-0.006363094,0.047972023,-0.065472044,0.050604772,0.014084795,0.996470928
80,1.334667,2,false,false,-0.076090835,-0.002517057,0.048615512,-0.062552303,0.043880764,0.009194896,0.997034192
81,1.351350,2,false,false,-0.075504921,-0.002303496,0.047969844,-0.062512100,0.042282742,0.009691530,0.997101068
82,1.368033,2,false,false,-0.074923769,-0.002248439,0.048383009,-0.062945977,0.040556610,0.009593733,0.997146368
83,1.384717,2,false,false,-0.073409893,-0.001192322,0.049098749,-0.061999407,0.038215905,0.010537331,0.997288704
84,1.401400,2,false,false,-0.072161257,-0.000593913,0.049054060,-0.061466519,0.036599521,0.011906706,0.997366846
85,1.418083,2,false,false,-0.071425006,-0.000293609,0.048831072,-0.060417335,0.034484655,0.014053148,0.997478366
86,1.434767,2,false,false,-0.070810281,0.000021142,0.048910029,-0.059539132,0.032991562,0.015164834,0.997565389
87,1.451450,2,false,false,-0.070156828,0.000652391,0.048636917,-0.057769179,0.031210504,0.014733295,0.997733235
88,1.468133,2,false,false,-0.069802925,0.001149735,0.048060965,-0.056443524,0.029762043,0.013764199,0.997867227
89,1.484817,2,false,false,-0.069650002,0.001477931,0.048145413,-0.055260751,0.029299855,0.012617151,0.997962236
90,1.501500,2,false,false,-0.069598943,0.001691409,0.048189800,-0.054506749,0.029529057,0.012294891,0.998001039
91,1.518183,2,false,false,-0.068970859,0.002386793,0.048439249,-0.053812325,0.028893910,0.011228019,0.998069823
92,1.534867,2,false,false,-0.127291799,-0.001463661,0.053637449,-0.055463746,0.034295771,0.014170866,0.997770965
93,1.551550,2,false,false,-0.068561167,0.004042015,0.048719823,-0.052394927,0.026818592,0.006082378,0.998247743
